                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.64467,                0.38026,                0.96604,                0.95909,                0.95804,                0.98244,                0.82672,                0.69748,                0.35997,                 1.0429,              0.0075448,              0.0075448,              0.0075448
                    126,                0.64503,                0.37169,                 0.9648,                0.94255,                0.96769,                0.98381,                0.82326,                0.71231,                0.38561,                 1.0557,               0.007525,               0.007525,               0.007525
                    127,                0.64223,                0.37266,                0.96588,                0.96674,                 0.9708,                0.98722,                0.82501,                0.70346,                0.33404,                 1.0447,              0.0075052,              0.0075052,              0.0075052
                    128,                0.62788,                0.36235,                0.95828,                 0.9491,                0.96634,                0.98348,                0.82995,                0.69941,                0.36472,                 1.0486,              0.0074854,              0.0074854,              0.0074854
                    129,                0.62993,                0.35646,                0.95495,                 0.9616,                0.96352,                0.98467,                0.82228,                0.71232,                0.34779,                 1.0599,              0.0074656,              0.0074656,              0.0074656
                    130,                0.63349,                0.36396,                0.96172,                0.95156,                0.94745,                0.97779,                0.81331,                0.72065,                0.39053,                 1.0602,              0.0074458,              0.0074458,              0.0074458
                    131,                0.63326,                0.36026,                0.95883,                0.94074,                0.94872,                0.98081,                0.81982,                0.71738,                0.39185,                  1.055,               0.007426,               0.007426,               0.007426
                    132,                0.62283,                0.34687,                 0.9559,                0.96838,                 0.9691,                0.98513,                 0.8283,                0.70238,                0.33092,                 1.0466,              0.0074062,              0.0074062,              0.0074062
                    133,                0.62062,                 0.3546,                0.95263,                 0.9519,                0.95722,                0.98003,                0.81821,                0.71851,                0.37641,                 1.0591,              0.0073864,              0.0073864,              0.0073864
                    134,                0.62556,                0.36461,                0.95625,                0.94557,                0.96244,                0.98306,                0.82673,                0.70487,                0.36921,                  1.053,              0.0073666,              0.0073666,              0.0073666
                    135,                0.62048,                0.35527,                0.95477,                0.95743,                0.95189,                0.97954,                0.82708,                0.70045,                0.37937,                 1.0519,              0.0073468,              0.0073468,              0.0073468
                    136,                0.62244,                0.35025,                0.95423,                0.95249,                0.94279,                0.97995,                0.82486,                 0.7097,                0.39056,                 1.0564,               0.007327,               0.007327,               0.007327
                    137,                0.61409,                0.35679,                0.94986,                0.94614,                 0.9471,                0.98309,                0.82271,                 0.7128,                0.37437,                  1.059,              0.0073072,              0.0073072,              0.0073072
                    138,                0.61745,                0.35243,                0.95095,                0.96052,                0.95197,                0.98382,                  0.832,                0.69107,                0.37994,                 1.0435,              0.0072874,              0.0072874,              0.0072874
                    139,                0.63091,                0.35892,                0.95948,                0.94064,                0.95947,                0.97756,                0.82174,                 0.7118,                0.39449,                  1.061,              0.0072676,              0.0072676,              0.0072676
                    140,                0.61253,                0.34669,                0.95168,                0.94419,                0.96079,                0.98339,                0.82276,                0.71481,                0.37625,                 1.0651,              0.0072478,              0.0072478,              0.0072478
                    141,                0.62373,                0.34896,                0.95694,                0.93371,                0.93644,                0.97799,                 0.8128,                0.72507,                0.39975,                 1.0653,               0.007228,               0.007228,               0.007228
                    142,                0.62737,                0.35293,                0.96044,                 0.9628,                0.97408,                0.98755,                 0.8312,                0.70248,                0.33724,                 1.0524,              0.0072082,              0.0072082,              0.0072082
                    143,                  0.623,                0.35446,                 0.9595,                0.96971,                0.96214,                0.98544,                0.82957,                0.70504,                0.33899,                 1.0553,              0.0071884,              0.0071884,              0.0071884
                    144,                0.61002,                0.34187,                0.94614,                0.94565,                 0.9591,                0.98334,                0.82654,                0.70937,                0.38234,                 1.0622,              0.0071686,              0.0071686,              0.0071686
                    145,                0.61311,                0.34304,                0.94916,                0.94887,                0.96336,                0.98557,                0.82801,                 0.7052,                0.36303,                 1.0608,              0.0071488,              0.0071488,              0.0071488
                    146,                0.61255,                0.33438,                 0.9479,                0.95792,                0.97648,                0.98837,                0.83265,                0.69821,                0.33415,                 1.0532,               0.007129,               0.007129,               0.007129
                    147,                0.60705,                0.33939,                0.94824,                0.95584,                 0.9528,                0.98061,                0.82408,                0.71126,                0.38213,                 1.0607,              0.0071092,              0.0071092,              0.0071092
                    148,                0.60334,                0.33945,                0.94454,                0.94516,                0.95143,                0.97829,                 0.8232,                0.70234,                0.40434,                  1.054,              0.0070894,              0.0070894,              0.0070894
                    149,                 0.6046,                0.34254,                0.94597,                 0.9414,                 0.9463,                0.96804,                0.80884,                0.71549,                0.42301,                 1.0623,              0.0070696,              0.0070696,              0.0070696
                    150,                0.61663,                0.33704,                0.95119,                0.94826,                 0.9437,                0.96821,                 0.8119,                0.70375,                 0.4179,                 1.0514,              0.0070498,              0.0070498,              0.0070498
                    151,                0.59504,                0.32927,                0.94493,                0.94724,                0.96315,                 0.9825,                0.82619,                0.69456,                0.36893,                 1.0497,                0.00703,                0.00703,                0.00703
                    152,                0.60494,                0.33544,                0.94727,                0.96259,                0.97115,                0.98867,                0.82883,                0.70627,                0.32407,                 1.0608,              0.0070102,              0.0070102,              0.0070102
                    153,                0.60908,                0.33578,                0.95049,                0.94781,                0.96452,                0.98487,                0.83055,                0.68872,                0.34477,                 1.0458,              0.0069904,              0.0069904,              0.0069904
                    154,                0.60045,                0.33302,                0.94743,                0.94754,                0.96072,                0.98101,                0.83013,                0.69657,                0.37881,                 1.0496,              0.0069706,              0.0069706,              0.0069706
